date,ticker,close,marcap
2021-08-31,000660,106500,77532251872500
2021-09-30,000660,103000,74984243595000
2021-10-31,000660,103000,74984243595000
2021-11-30,000660,114000,82992269610000
2021-12-31,000660,131000,95368309815000
2022-01-31,000660,120500,87724284982500
2022-02-28,000660,123500,89908292077500
2022-03-31,000660,118000,85904279070000
2022-04-30,000660,112500,81900266062500
2022-05-31,000660,108000,78624255420000
2022-06-30,000660,91000,66248215215000
2022-07-31,000660,97900,71271431533500
2022-08-31,000660,95200,69305825148000
2022-09-30,000660,83100,60496996531500
2022-10-31,000660,82700,60205795585500
2022-11-30,000660,85000,61880201025000
2022-12-31,000660,75000,54600177375000
2023-01-31,000660,88500,64428209302500
2023-02-28,000660,89400,65083411431000
2023-03-31,000660,88600,64501009539000
2023-04-30,000660,89500,65156211667500
2023-05-31,000660,108600,79061056839000
2023-06-30,000660,115200,83865872448000
2023-07-31,000660,123400,89835491841000
2023-08-31,000660,121800,88670688057000
2023-09-30,000660,114700,83501871265500
2023-10-31,000660,116300,84666675049500
2023-11-30,000660,133900,97479516673500
2023-12-31,000660,141500,103012334647500
2024-01-31,000660,134700,98061918565500
2024-02-29,000660,156200,113713969413000
2024-03-31,000660,183000,133224432795000
2024-04-30,000660,174200,126818011983000
2024-05-31,000660,189200,137738047458000
2024-06-30,000660,236500,172172559322500
2024-07-31,000660,194600,141669260229000
2024-08-31,000660,173700,126454010800500
2024-09-30,000660,174600,127109212929000
2024-10-31,000660,186300,135626840599500
2024-11-30,000660,159900,116407578163500
2024-12-31,000660,173900,126599611273500
2022-01-31,373220,450000,105300000000000
2022-02-28,373220,412000,96408000000000
2022-03-31,373220,442000,103428000000000
2022-04-30,373220,417000,97578000000000
2022-05-31,373220,444000,103896000000000
2022-06-30,373220,371000,86814000000000
2022-07-31,373220,422000,98748000000000
2022-08-31,373220,462500,108225000000000
2022-09-30,373220,426500,99801000000000
2022-10-31,373220,528000,123552000000000
2022-11-30,373220,587000,137358000000000
2022-12-31,373220,435500,101907000000000
2023-01-31,373220,521000,121914000000000
2023-02-28,373220,523000,122382000000000
2023-03-31,373220,584000,136656000000000
2023-04-30,373220,581000,135954000000000
2023-05-31,373220,599000,140166000000000
2023-06-30,373220,553000,129402000000000
2023-07-31,373220,560000,131040000000000
2023-08-31,373220,544000,127296000000000
2023-09-30,373220,476500,111501000000000
2023-10-31,373220,385500,90207000000000
2023-11-30,373220,454500,106353000000000
2023-12-31,373220,427500,100035000000000
2024-01-31,373220,381000,89154000000000
2024-02-29,373220,401500,93951000000000
2024-03-31,373220,395000,92430000000000
2024-04-30,373220,389000,91026000000000
2024-05-31,373220,331000,77454000000000
2024-06-30,373220,326500,76401000000000
2024-07-31,373220,324000,75816000000000
2024-08-31,373220,388000,90792000000000
2024-09-30,373220,414500,96993000000000
2024-10-31,373220,407500,95355000000000
2024-11-30,373220,381500,89271000000000
2024-12-31,373220,348000,81432000000000
2016-11-30,207940,152198,10832540452000
2016-12-31,207940,149233,10621509542000
2017-01-31,207940,159116,11324922184000
2017-02-28,207940,162575,11571113050000
2017-03-31,207940,170975,12168974650000
2017-04-30,207940,172952,12309685648000
2017-05-31,207940,217425,15475006950000
2017-06-30,207940,288583,20539606442000
2017-07-31,207940,268817,19132781158000
2017-08-31,207940,279688,19906513712000
2017-09-30,207940,333550,23740087700000
2017-10-31,207940,379506,27010960044000
2017-11-30,207940,338492,24091829608000
2017-12-31,207940,366658,26096516492000
2018-01-31,207940,433368,30844534032000
2018-02-28,207940,444733,31653426542000
2018-03-31,207940,481300,34256046200000
2018-04-30,207940,482289,34326437286000
2018-05-31,207940,429909,30598343166000
2018-06-30,207940,412120,29332228880000
2018-07-31,207940,368635,26237227490000
2018-08-31,207940,457581,32567870094000
2018-09-30,207940,527750,37562078500000
2018-10-31,207940,382965,27257150910000
2018-11-30,207940,330585,23529056790000
2018-12-31,207940,381977,27186830998000
2019-01-31,207940,394330,28066043420000
2019-02-28,207940,371599,26448187226000
2019-03-31,207940,315761,22473973414000
2019-04-30,207940,336021,23915958654000
2019-05-31,207940,296489,21102308086000
2019-06-30,207940,316255,22509133370000
2019-07-31,207940,276723,19695482802000
2019-08-31,207940,265852,18921750248000
2019-09-30,207940,303901,21629849774000
2019-10-31,207940,393836,28030883464000
2019-11-30,207940,388895,27679212730000
2019-12-31,207940,427932,30457632168000
2020-01-31,207940,478830,34080246420000
2020-02-29,207940,458075,32603030050000
2020-03-31,207940,476359,33904375466000
2020-04-30,207940,574200,40868110800000
2020-05-31,207940,614720,43752081280000
2020-06-30,207940,765930,54514301820000
2020-07-31,207940,724421,51559940254000
2020-08-31,207940,768895,54725332730000
2020-09-30,207940,681925,48535329950000
2020-10-31,207940,674018,47972557132000
2020-11-30,207940,776801,55288034374000
2020-12-31,207940,816333,58101684942000
2021-01-31,207940,783719,55780416106000
2021-02-28,207940,741222,52755734628000
2021-03-31,207940,739246,52615094804000
2021-04-30,207940,794590,56554148660000
2021-05-31,207940,835111,59438190314000
2021-06-30,207940,831157,59156768318000
2021-07-31,207940,879584,62603511616000
2021-08-31,207940,953706,67879070844000
2021-09-30,207940,863771,61478037154000
2021-10-31,207940,860806,61267006244000
2021-11-30,207940,878596,62533191704000
2021-12-31,207940,892432,63517955168000
2022-01-31,207940,730351,51982002074000
2022-02-28,207940,779000,55444546000000
2022-03-31,207940,827000,58860898000000
2022-04-30,207940,838000,59643812000000
2022-05-31,207940,847000,60284378000000
2022-06-30,207940,790000,56227460000000
2022-07-31,207940,865000,61565510000000
2022-08-31,207940,835000,59430290000000
2022-09-30,207940,807000,57437418000000
2022-10-31,207940,877000,62419598000000
2022-11-30,207940,887000,63131338000000
2022-12-31,207940,821000,58433854000000
2023-01-31,207940,793000,56440982000000
2023-02-28,207940,773000,55017502000000
2023-03-31,207940,788000,56085112000000
2023-04-30,207940,781000,55586894000000
2023-05-31,207940,784000,55800416000000
2023-06-30,207940,744000,52953456000000
2023-07-31,207940,766000,54519284000000
2023-08-31,207940,737000,52455238000000
2023-09-30,207940,681000,48469494000000
2023-10-31,207940,709000,50462366000000
2023-11-30,207940,725000,51601150000000
2023-12-31,207940,760000,54092240000000
2024-01-31,207940,840000,59786160000000
2024-02-29,207940,774000,55088676000000
2024-03-31,207940,831000,59145594000000
2024-04-30,207940,781000,55586894000000
2024-05-31,207940,730000,51957020000000
2024-06-30,207940,727000,51743498000000
2024-07-31,207940,938000,66761212000000
2024-08-31,207940,980000,69750520000000
2024-09-30,207940,977000,69536998000000
2024-10-31,207940,1002000,71316348000000
2024-11-30,207940,975000,69394650000000
2024-12-31,207940,949000,67544126000000
2015-01-31,012450,23377,1205397625177
2015-02-28,012450,25364,1307854102964
2015-03-31,012450,24142,1244843626942
2015-04-30,012450,28216,1454912922616
2015-05-31,012450,27350,1410259017350
2015-06-30,012450,29846,1538961266246
2015-07-31,012450,38810,2001175592810
2015-08-31,012450,31883,1643995914083
2015-09-30,012450,31476,1623009609876
2015-10-31,012450,37995,1959151420995
2015-11-30,012450,36722,1893511211522
2015-12-31,012450,36212,1867213877012
2016-01-31,012450,32901,1696487456301
2016-02-29,012450,39930,2058926601930
2016-03-31,012450,41102,2119358907902
2016-04-30,012450,42477,2190258584277
2016-05-31,012450,45329,2337317403929
2016-06-30,012450,49506,2552697729906
2016-07-31,012450,55109,2841607465709
2016-08-31,012450,62749,3235551849349
2016-09-30,012450,64786,3340586497186
2016-10-31,012450,64990,3351105430990
2016-11-30,012450,48742,2513303291542
2016-12-31,012450,44260,2282196128260
2017-01-31,012450,42477,2190258584277
2017-02-28,012450,44718,2305812165918
2017-03-31,012450,47978,2473908853178
2017-04-30,012450,52970,2731313350970
2017-05-31,012450,50881,2623597406281
2017-06-30,012450,45329,2337317403929
2017-07-31,012450,40643,2095691306843
2017-08-31,012450,39523,2037940297723
2017-09-30,012450,33818,1743771095018
2017-10-31,012450,39116,2016953993516
2017-11-30,012450,35907,1851487039707
2017-12-31,012450,36212,1867213877012
2018-01-31,012450,34277,1767438696077
2018-02-28,012450,29693,1531072065893
2018-03-31,012450,30151,1554688103551
2018-04-30,012450,24549,1265829931149
2018-05-31,012450,33768,1741192924968
2018-06-30,012450,23886,1231643396286
2018-07-31,012450,22970,1184411320970
2018-08-31,012450,25466,1313113569866
2018-09-30,012450,25873,1334099874073
2018-10-31,012450,28980,1494307360980
2018-11-30,012450,33054,1704376656654
2018-12-31,012450,33105,1707006390105
2019-01-31,012450,31985,1649255380985
2019-02-28,012450,33564,1730673991164
2019-03-31,012450,35041,1806833134441
2019-04-30,012450,31476,1623009609876
2019-05-31,012450,30457,1570466504257
2019-06-30,012450,33869,1746400828469
2019-07-31,012450,32800,1691279552800
2019-08-31,012450,39625,2043199764625
2019-09-30,012450,42936,2213926185336
2019-10-31,012450,38504,1985397192104
2019-11-30,012450,39166,2019532163566
2019-12-31,012450,35703,1840968105903
2020-01-31,012450,33105,1707006390105
2020-02-29,012450,28012,1444393988812
2020-03-31,012450,20932,1079325109732
2020-04-30,012450,27401,1412888750801
2020-05-31,012450,24752,1276297301552
2020-06-30,012450,25058,1292075702258
2020-07-31,012450,24752,1276297301552
2020-08-31,012450,26280,1355086178280
2020-09-30,012450,25873,1334099874073
2020-10-31,012450,25567,1318321473367
2020-11-30,012450,26892,1386642979692
2020-12-31,012450,29031,1496937094431
2021-01-31,012450,41407,2135085745207
2021-02-28,012450,37588,1938165116788
2021-03-31,012450,41662,2148234412462
2021-04-30,012450,39320,2027472927320
2021-05-31,012450,47672,2458130452472
2021-06-30,012450,47876,2468649386276
2021-07-31,012450,52766,2720794417166
2021-08-31,012450,51849,2673510778449
2021-09-30,012450,51136,2636746073536
2021-10-31,012450,45839,2363614738439
2021-11-30,012450,41407,2135085745207
2021-12-31,012450,48895,2521192491895
2022-01-31,012450,48691,2510673558091
2022-02-28,012450,52970,2731313350970
2022-03-31,012450,53174,2741832284774
2022-04-30,012450,54293,2799531730493
2022-05-31,012450,54905,2831088531905
2022-06-30,012450,49608,2557957196808
2022-07-31,012450,65601,3382610669001
2022-08-31,012450,82918,4275534084118
2022-09-30,012450,62646,3230240819046
2022-10-31,012450,67537,3482437413337
2022-11-30,012450,73954,3813319757554
2022-12-31,012450,74972,3865811299772
2023-01-31,012450,81899,4222990978499
2023-02-28,012450,91679,4727281040279
2023-03-31,012450,101050,5210481671050
2023-04-30,012450,104616,5394356759016
2023-05-31,012450,108079,5572920816679
2023-06-30,012450,129777,6691743491577
2023-07-31,012450,124479,6418560593079
2023-08-31,012450,116330,5998370438330
2023-09-30,012450,106551,5494131939951
2023-10-31,012450,102884,5305048948484
2023-11-30,012450,128249,6612954614849
2023-12-31,012450,126823,6539425205023
2024-01-31,012450,140677,7253784562477
2024-02-29,012450,190998,9848506464198
2024-03-31,012450,208315,10741429879315
2024-04-30,012450,215446,11109128491846
2024-05-31,012450,208824,10767675650424
2024-06-30,012450,254155,13105096181155
2024-07-31,012450,293374,15127361204974
2024-08-31,012450,295411,15232395852811
2024-09-30,012450,292457,15080077566257
2024-10-31,012450,362371,18685081183771
2024-11-30,012450,307720,15867089755720
2024-12-31,012450,321506,16577942801906
2015-01-31,005935,21320,17396579836480
2015-02-28,005935,20960,17102828957440
2015-03-31,005935,22080,18016720581120
2015-04-30,005935,21800,17788247675200
2015-05-31,005935,21580,17608733249120
2015-06-30,005935,19860,16205256827040
2015-07-31,005935,18400,15013933817600
2015-08-31,005935,17400,14197959153600
2015-09-30,005935,18340,14964975337760
2015-10-31,005935,23900,19501794469600
2015-11-30,005935,21920,17886164634880
2015-12-31,005935,21820,17804567168480
2016-01-31,005935,19980,16303173786720
2016-02-29,005935,19720,16091020374080
2016-03-31,005935,22140,18065679060960
2016-04-30,005935,20860,17021231491040
2016-05-31,005935,21240,17331301863360
2016-06-30,005935,23660,19305960550240
2016-07-31,005935,25300,20644158999200
2016-08-31,005935,26480,21607009102720
2016-09-30,005935,25800,21052146331200
2016-10-31,005935,26340,21492772649760
2016-11-30,005935,27120,22129232887680
2016-12-31,005935,28660,23385833870240
2017-01-31,005935,31420,25637923942880
2017-02-28,005935,29920,24413961946880
2017-03-31,005935,32060,26160147727840
2017-04-30,005935,35060,28608071719840
2017-05-31,005935,34980,28542793746720
2017-06-30,005935,37240,30386896487360
2017-07-31,005935,38620,31512941523680
2017-08-31,005935,37700,30762244832800
2017-09-30,005935,41240,33650795143360
2017-10-31,005935,44800,36555664947200
2017-11-30,005935,41920,34205657914880
2017-12-31,005935,41800,34107740955200
2018-01-31,005935,42180,34417811327520
2018-02-28,005935,39900,32557389093600
2018-03-31,005935,40800,33291766291200
2018-04-30,005935,42500,34678923220000
2018-05-31,005935,40500,33046973892000
2018-06-30,005935,37650,30721446099600
2018-07-31,005935,38250,31211030898000
2018-08-31,005935,39700,32394194160800
2018-09-30,005935,37850,30884641032400
2018-10-31,005935,35750,29171094238000
2018-11-30,005935,33750,27539144910000
2018-12-31,005935,31750,25907195582000
2019-01-31,005935,37500,30599049900000
2019-02-28,005935,36000,29375087904000
2019-03-31,005935,36250,29579081570000
2019-04-30,005935,37200,30354257500800
2019-05-31,005935,34800,28395918307200
2019-06-30,005935,38250,31211030898000
2019-07-31,005935,37000,30191062568000
2019-08-31,005935,36850,30068666368400
2019-09-30,005935,39500,32230999228000
2019-10-31,005935,41050,33495759957200
2019-11-30,005935,40850,33332565024400
2019-12-31,005935,45400,37045249745600
2020-01-31,005935,47500,38758796540000
2020-02-29,005935,45550,37167645945200
2020-03-31,005935,40100,32720584026400
2020-04-30,005935,42250,34474929554000
2020-05-31,005935,42850,34964514352400
2020-06-30,005935,46500,37942821876000
2020-07-31,005935,49500,40390745868000
2020-08-31,005935,47500,38758796540000
2020-09-30,005935,50500,41206720532000
2020-10-31,005935,50100,40880330666400
2020-11-30,005935,61100,49856051970400
2020-12-31,005935,73600,60055735270400
2021-01-31,005935,73100,59647747938400
2021-02-28,005935,72800,59402955539200
2021-03-31,005935,73000,59566150472000
2021-04-30,005935,73300,59810942871200
2021-05-31,005935,73000,59566150472000
2021-06-30,005935,73700,60137332736800
